hru_id_nhm,nhru_v1_1
109952,68
109953,83
109954,89
109955,93
109956,97
109957,101
109958,109
109959,110
109960,115
109961,116
109962,117
109963,120
109964,121
109965,122
109966,123
109967,128
109968,133
109969,137
109970,151
109971,152
109972,156
109973,163
109974,164
109975,167
109976,171
109977,174
109978,175
109979,176
109980,179
109981,181
109982,183
109983,186
109984,188
109985,189
109986,195
109987,198
109988,199
109989,203
109990,204
109991,206
109992,213
109993,219
109994,220
109995,222
109996,226
109997,228
109998,229
109999,230
110000,231
110001,232
110002,235
110003,237
110004,239
110005,243
110006,246
110007,248
110008,250
110009,251
110010,254
110011,255
110012,264
110013,268
110014,272
110015,274
110016,275
110017,277
110018,286
110019,287
110020,304
110021,312
110022,315
110023,316
110024,317
110025,322
110026,332
110027,337
110028,342
110029,344
110030,345
110031,346
110032,347
110033,349
110034,350
110035,351
110036,355
110037,359
110038,362
110039,363
110040,364
110041,366
110042,371
110043,373
110044,375
110045,376
110046,380
110047,381
110048,382
110049,383
110050,392
110051,395
110052,398
110053,401
110054,402
110055,404
110056,405
110057,408
110058,409
110059,413
110060,414
110061,418
110062,420
110063,421
110064,422
110065,424
110066,427
110067,428
110068,429
110069,432
110070,433
110071,434
110072,435
110073,436
110074,437
110075,440
110076,441
110077,446
110078,447
110079,448
110080,452
110081,453
110082,454
110083,456
110084,457
110085,458
110086,459
110087,460
110088,461
110089,464
110090,465
110091,466
110092,467
110093,469
110094,470
110095,471
110096,472
110097,475
110098,476
110099,484
110100,485
110101,487
110102,488
110103,489
110104,495
110105,497
110106,498
110107,499
110108,500
110109,501
110110,502
110111,503
110112,505
110113,506
110114,511
110115,515
110116,517
110117,520
110118,521
110119,523
110120,528
110121,529
110122,533
110123,534
110124,537
110125,539
110126,540
110127,541
110128,544
110129,545
110130,550
110131,553
110132,554
110133,557
110134,559
110135,560
110136,561
110137,562
110138,563
110139,564
110140,569
110141,572
110142,576
110143,578
110144,583
110145,586
110146,587
110147,588
110148,592
110149,593
110150,594
110151,595
110152,597
110153,599
110154,600
110155,601
110156,603
110157,605
110158,607
110159,608
110160,611
110161,612
110162,613
110163,615
110164,616
110165,617
110166,618
110167,621
110168,622
110169,623
110170,624
110171,625
110172,626
110173,627
110174,628
110175,634
110176,641
110177,646
110178,647
110179,653
110180,656
110181,662
110182,663
110183,664
110184,665
110185,666
110186,667
110187,668
110188,669
110189,670
110190,671
110191,672
110192,682
110193,689
110194,699
110195,704
110196,705
110197,709
110198,710
110199,712
110200,714
110201,716
110202,721
110203,722
110204,725
110205,729
110206,730
110207,732
110208,736
110209,737
110210,738
110211,739
110212,740
110213,741
110214,743
110215,744
110216,745
110217,748
110218,751
110219,752
110220,755
110221,759
110222,760
110223,771
110224,773
110225,776
110226,781
110227,784
110228,789
110229,790
110230,791
110231,799
110232,805
110233,819
110234,832
110235,834
110236,835
110237,836
110238,845
110239,846
110240,848
110241,851
110242,858
110243,860
110244,861
110245,862
110246,864
110247,866
110248,867
110249,868
110250,869
110251,872
110252,874
110253,878
110254,879
110255,881
110256,883
110257,890
110258,901
110259,903
110260,905
110261,907
110262,909
110263,911
110264,912
110265,913
110266,914
110267,916
110268,917
110269,922
110270,924
110271,929
110272,931
110273,933
110274,936
110275,938
110276,939
110277,945
110278,951
110279,952
110280,954
110281,955
110282,958
110283,959
110284,960
110285,961
110286,966
110287,968
110288,973
110289,974
110290,975
110291,980
110292,982
110293,983
110294,988
110295,990
110296,1009
110297,1011
110298,1029
110299,1041
110300,1042
110301,1051
110302,1052
110303,1053
110304,1079
110305,1081
110306,1083
110307,1085
110308,1086
110309,1087
110310,1089
110311,1090
110312,1096
110313,1098
110314,1099
110315,1109
110316,1122
110317,1135
110318,1136
110319,1138
110320,1139
110321,1141
110322,1142
110323,1144
110324,1147
110325,1149
110326,1150
