seg_id_nhm,nsegment_v1_1
56461,19
56462,20
56463,21
56464,22
56465,23
56466,24
56467,25
56468,26
56469,27
56470,28
56471,29
56472,30
56473,31
56474,32
56475,33
56476,34
56477,35
56478,36
56479,37
56480,38
56481,39
56482,40
56483,41
56484,42
56485,43
56486,44
56487,45
56488,46
56489,47
56490,48
56491,49
56492,50
56493,51
56494,52
56495,53
56496,54
56497,55
56498,56
56499,57
56500,58
56501,59
56502,60
56503,61
56504,62
56505,63
56506,64
56507,65
56508,66
56509,67
56510,68
56511,69
56512,70
56513,71
56514,72
56515,73
56516,74
56517,75
56518,76
56519,77
56520,78
56521,79
56522,80
56523,81
56524,82
56525,83
56526,84
56527,85
56528,86
56529,87
56530,88
56531,89
56532,90
56533,91
56534,92
56535,93
56536,94
56537,95
56538,96
56539,97
56540,98
56541,99
56542,100
56543,101
56544,307
56545,308
56546,309
56547,310
56548,311
56549,312
56550,313
56551,314
56552,315
56553,316
56554,317
56555,318
56556,319
56557,320
56558,321
56559,322
56560,323
56561,324
56562,325
56563,326
56564,327
56565,328
56566,329
56567,330
56568,331
56569,332
56570,333
56571,334
56572,335
56573,336
56574,337
56575,338
56576,339
56577,340
56578,341
56579,342
56580,343
56581,344
56582,345
56583,346
56584,347
56585,348
56586,349
56587,350
56588,351
56589,352
56590,353
56591,354
56592,355
56593,356
56594,357
56595,358
56596,359
56597,360
56598,361
56599,362
56600,363
56601,364
56602,365
56603,366
56604,367
56605,368
56606,369
56607,370
56608,371
56609,372
56610,445
56611,446
56612,447
56613,448
56614,449
56615,450
56616,451
56617,452
56618,453
56619,454
56620,455
56621,456
56622,457
56623,458
56624,459
56625,460
56626,461
56627,462
56628,463
56629,464
56630,465
56631,466
56632,467
56633,468
56634,469
56635,470
56636,471
56637,472
56638,473
56639,474
56640,475
56641,476
56642,477
56643,478
56644,479
56645,480
56646,481
56647,482
56648,483
56649,484
56650,485
56651,486
56652,487
56653,488
56654,489
56655,490
56656,491
56657,492
56658,493
56659,494
56660,495
56661,496
56662,497
56663,498
56664,499
56665,500
56666,501
56667,502
56668,503
56669,504
56670,505
56671,506
56672,507
56673,508
56674,509
56675,510
56676,511
56677,512
56678,513
56679,514
56680,526
56681,527
56682,528
56683,529
56684,530
56685,531
56686,532
56687,533
56688,534
56689,535
56690,536
56691,537
56692,538
56693,539
56694,540
56695,541
56696,542
56697,543
56698,544
56699,545
56700,546
56701,547
56702,548
56703,549
56704,550
56705,551
56706,552
56707,553
56708,554
56709,555
56710,556
56711,557
56712,558
56713,559
56714,560
56715,561
56716,562
56717,563
56718,665
56719,666
56720,667
56721,668
56722,669
56723,670
56724,671
56725,672
56726,673
56727,674
56728,675
56729,676
56730,677
56731,678
56732,679
56733,680
56734,681
56735,682
56736,683
56737,684
56738,685
56739,686
56740,687
56741,688
56742,689
56743,690
56744,691
56745,692
56746,693
56747,694
56748,695
56749,696
56750,697
56751,698
56752,699
56753,700
56754,701
56755,702
56756,703
56757,704
56758,705
56759,706
56760,707
56761,708
56762,709
56763,710
56764,711
56765,712
56766,713
56767,714
56768,715
56769,716
56770,717
56771,718
56772,719
56773,720
56774,721
56775,722
56776,1063
56777,1064
56778,1065
56779,1066
56780,1067
56781,1068
56782,1069
