comid,site_no,lat,long
1748535,01413088,42.30651,-74.553276
1748567,01413398,42.153725,-74.584694
1748569,01415460,42.168724,-74.90841
1748583,01413500,42.143627,-74.654144
1748589,01415000,42.12457,-74.81156
1748611,01414500,42.081245,-74.657524
1748719,01413408,42.145733,-74.621666
1748723,01414000,42.13749,-74.69514
1748725,01415500,42.130478,-74.90006
1748727,01417000,42.074482,-74.97947
1749281,01417500,42.024136,-75.123146
1750385,01418500,41.971558,-74.86232
1750471,01419500,41.902397,-74.81111
1750601,01420000,41.86829,-74.79252
1752137,01421000,41.974133,-75.17402
2583309,01443280,41.077927,-74.69518
2586769,01445000,40.974586,-74.78975
2586771,01443500,40.97772,-74.94491
2586785,01455500,40.912033,-74.67347
2586799,01456000,40.872475,-74.80657
2586809,01445500,40.834126,-74.987625
2587723,01443900,40.97514,-75.04383
2587799,01446600,40.89023,-75.205765
2588225,01446000,40.844074,-75.04445
2588233,01446776,40.768356,-75.27843
2588261,01457000,40.637424,-75.115906
2588381,01446500,40.825928,-75.08373
2588479,01457500,40.605194,-75.194595
2589541,01461300,40.41229,-74.98598
2589709,01463657,40.294888,-74.72063
2590117,01463620,40.270275,-74.68444
2590137,01464000,40.220554,-74.75217
2590243,01463740,40.272312,-74.77491
2590249,01460378,40.288986,-74.8632
2590277,01463500,40.232426,-74.80305
2591113,01458900,40.474495,-75.143135
2591219,01459500,40.43835,-75.124565
2591241,01460000,40.42286,-75.06589
2591267,01460880,40.41809,-75.016975
2612794,01421614,42.354595,-74.62712
2612822,01421900,42.283096,-74.90498
2612826,01422000,42.26381,-74.92149
2612842,01422500,42.25252,-74.896515
2612920,01421610,42.391552,-74.64017
2612942,01422389,42.2463,-74.74877
2613340,01422738,42.260117,-75.03855
2613490,01422779,42.17957,-75.12481
2613498,01422747,42.1748,-75.11782
2613578,01423000,42.15888,-75.14107
2613640,01425500,42.161743,-75.39317
2613826,01426000,42.05947,-75.42587
2614018,0142400103,42.168125,-75.279884
2614122,01424500,42.10727,-75.31469
2614210,01426500,42.00274,-75.375916
2614238,01425000,42.07177,-75.39202
2615318,01428500,41.5089,-74.991714
2617004,01427650,41.698387,-75.165306
2617174,01428000,41.567776,-75.01268
2617252,01427500,41.76037,-75.048294
2617456,01427510,41.751667,-75.05314
2739446,01429301,41.656376,-75.284904
2739748,01428750,41.66336,-75.36823
2739766,01429500,41.614304,-75.26558
2739772,01429000,41.585514,-75.32672
2739776,01430000,41.567844,-75.252174
2742476,01431000,41.484894,-75.22218
2743148,01432110,41.476143,-75.03508
2743198,01431500,41.478455,-75.176506
2743218,01432000,41.454,-75.186134
4146586,01434021,42.010857,-74.41913
4147394,01434017,41.922626,-74.54282
4147396,01434498,41.934883,-74.57457
4147432,01436000,41.804058,-74.62677
4147458,01436500,41.76494,-74.60614
4147566,01432900,41.66866,-74.77452
4147634,01436690,41.637566,-74.61817
4147946,01434025,41.99704,-74.498505
4147950,01434013,41.959602,-74.469185
4147956,01435500,41.878056,-74.60705
4150156,01433500,41.461155,-74.75925
4150904,01439590,41.258026,-74.99664
4151208,01437000,41.49779,-74.64617
4151216,01437500,41.444717,-74.5979
4151294,01439800,41.21263,-74.795135
4151302,01440000,41.104546,-74.95703
4151388,01432160,41.47659,-74.915375
4151524,01434000,41.373505,-74.70053
4151628,01438500,41.308083,-74.79758
4153154,01440485,41.09483,-75.30844
4153166,01440400,41.091827,-75.22148
4153168,01439500,41.087486,-75.03372
4154458,01441500,40.98773,-75.24068
4154460,01441000,40.964874,-75.222626
4154488,01442500,40.997593,-75.14196
4185679,01447500,41.123722,-75.635735
4185779,01447720,41.08695,-75.605896
4185837,01447680,41.065987,-75.525475
4186205,01448500,41.03508,-75.54406
4186403,01447800,41.102398,-75.73407
4186459,01448000,41.04026,-75.76118
4187083,01449500,40.924,-75.559204
4187341,01449800,40.847057,-75.6423
4187389,01450020,40.82499,-75.6817
4187713,01451800,40.638763,-75.622925
4187763,01451650,40.596245,-75.47591
4187925,01449360,40.89643,-75.51055
4187957,01450500,40.802193,-75.60374
4188007,01452000,40.622784,-75.47766
4188011,01451500,40.570312,-75.49757
4188017,01452500,40.66633,-75.375015
4188159,01449000,40.83643,-75.70283
4188205,01451000,40.7726,-75.606544
4188251,01454700,40.648457,-75.26046
4188281,01453000,40.61678,-75.412346
4480911,01465500,40.17567,-74.95679
4481607,01464500,40.140564,-74.58697
4482695,01464645,40.311054,-75.20976
4482733,01464720,40.285767,-75.20542
4482843,01465000,40.253685,-75.02962
4482885,01464907,40.23143,-75.1233
4482999,01464750,40.256985,-75.04941
4483013,01465200,40.250874,-75.0115
4488242,01465798,40.05777,-74.983635
4489072,01475300,40.018307,-75.40717
4489096,01467089,40.01732,-75.107414
4489158,01467036,40.17794,-75.112305
4489170,01467042,40.091953,-75.0704
4489178,01467048,40.068954,-75.04363
4489180,01467086,40.054134,-75.10387
4491898,01467000,39.970455,-74.68518
4491946,01466900,39.952133,-74.623024
4492020,01466000,39.908768,-74.48675
4492122,01465850,39.938637,-74.77612
4494460,01475850,39.973774,-75.43546
4495272,01475001,39.741726,-75.117455
4495656,01475530,39.983166,-75.283714
4495672,01467081,39.94188,-75.00178
4495680,01475550,39.938236,-75.239746
4495682,01475510,39.930344,-75.28186
