site_no,long,lat,begin_date,end_date,geometry,comid,reachcode,comid-long,comid-lat
014806318,-75.8332776,39.9073296,1997-08-15,1998-10-29,POINT (-75.8332776 39.9073296),4651858,02040205000224,-75.83303247818527,39.90728426269912
01480629,-75.82300028,39.9295515,2020-02-14,2023-12-03,POINT (-75.82300028 39.9295515),4651854,02040205000095,-75.82273428470037,39.9294340289563
01480300,-75.8607744,40.07287916,1960-06-01,2023-12-03,POINT (-75.8607744 40.07287916),4648694,02040205000089,-75.86069668212882,40.07227685883363
01471710,-75.79241789,40.3306487,1981-10-01,1982-09-30,POINT (-75.79241789 40.3306487),4780991,02040203001110,-75.7929771235466,40.33054938623694
01471700,-75.8060303,40.34314876,1981-10-01,1982-09-30,POINT (-75.8060303 40.34314876),4781023,02040203000386,-75.80586443734009,40.342777069459146
01470720,-75.8757575,40.573149,1965-10-01,1981-04-10,POINT (-75.8757575 40.573149),4778989,02040203001071,-75.87664345746606,40.57310879704524
01468500,-76.1246622,40.6292577,1947-10-01,2023-12-03,POINT (-76.1246622 40.6292577),4779603,02040203000934,-76.1235398223755,40.629054229385204
01470779,-76.1716128,40.4134258,1974-11-22,2023-12-03,POINT (-76.1716128 40.4134258),4783101,02040203000241,-76.17139538967656,40.413260539562316
01411495,-75.0725,39.50555556,1992-08-12,1994-10-17,POINT (-75.0725 39.50555556),9481846,02040206000262,-75.07296916006477,39.50496063809799
01411456,-75.0675,39.65888889,1987-10-28,2016-09-30,POINT (-75.0675 39.65888889),9481686,02040206000081,-75.06814686031181,39.65611699406672
01484100,-75.51275,38.90577778,1958-05-01,2023-12-03,POINT (-75.51275 38.90577778),8077030,02040207000054,-75.51280380536932,38.90597725044867
01484000,-75.5669167,38.97602778,1931-07-01,2020-01-01,POINT (-75.5669167 38.97602778),8076762,02040207000096,-75.56646643137674,38.97606645881252
01484050,-75.5289722,39.01027778,2007-05-17,2008-12-31,POINT (-75.5289722 39.01027778),8074906,02040207000608,-75.52870134342737,39.010569284618796
01483670,-75.5815927,39.1770566,1992-10-01,1994-09-29,POINT (-75.5815927 39.1770566),8074616,02040207000137,-75.58107662863102,39.17713254945157
01483500,-75.6323056,39.2328611,1931-07-01,2020-01-01,POINT (-75.6323056 39.2328611),8075192,02040207000159,-75.63222344907331,39.23303653070452
01483200,-75.66938889,39.36627778,1956-10-01,2023-12-03,POINT (-75.66938889 39.36627778),4653422,02040205000006,-75.66923406591488,39.36655168300219
01484270,-75.2671335,38.76150117,1971-05-01,2005-09-29,POINT (-75.2671335 38.76150117),8077692,02040207000452,-75.26629453909526,38.76179852556957
01476600,-75.2572222,39.7886111,1957-08-01,1966-09-29,POINT (-75.2572222 39.7886111),4495782,02040202001815,-75.25745846350642,39.78875890025779
01483155,-75.7094722,39.4309722,2001-04-01,2023-12-03,POINT (-75.7094722 39.4309722),4653400,02040205000380,-75.70942790709182,39.431263982479635
01483170,-75.6877222,39.4626111,1978-09-06,2014-06-30,POINT (-75.6877222 39.4626111),4653600,02040205000384,-75.68750408731816,39.462706132294265
01483165,-75.6963333,39.4848333,2000-10-01,2014-06-30,POINT (-75.6963333 39.4848333),4653270,02040205000383,-75.69627683054911,39.48497215165159
01482298,-75.6679856,39.60455646,1978-08-04,1981-09-29,POINT (-75.6679856 39.60455646),4651512,02040205000893,-75.66723676431471,39.604272675609
01478000,-75.72788889,39.63738889,1943-04-01,2023-12-03,POINT (-75.72788889 39.63738889),4651956,02040205000155,-75.7278901161716,39.63699774346919
