,cannonsville_gages,cannonsville_hru,pepacton_gages,pepacton_hru
1980-10-01,205.26003846366336,130.379373202474,155.07663136282025,89.32519340135883
1980-10-02,301.3285041232089,320.8764341923685,185.83827312793125,234.4259288478761
1980-10-03,337.72480583306816,384.18848719088425,189.27344650909197,261.30023009552616
1980-10-04,278.0287782772136,345.2207148785446,191.63754856238313,265.8437778690596
1980-10-05,272.7863885322791,322.8690933847349,173.7006399686361,257.0402940943609
1980-10-06,244.78741468287777,297.47878841842817,164.21523127323616,236.49841117417213
1980-10-07,232.9559945644438,277.75105412665863,158.53332242378607,226.1789781957269
1980-10-08,222.34580231964537,265.2350746972776,152.6292211867247,218.2047319294712
1980-10-09,212.2686839337647,253.32641775784623,147.11368573081106,210.2404265724076
1980-10-10,202.7839871524345,242.14009410499025,141.87031101731947,202.83137227619213
1980-10-11,204.66431739935936,238.44103051213295,143.6600888764514,202.69363940141315
1980-10-12,192.27500443332153,232.0665408368407,136.42340531048126,201.4346745346988
1980-10-13,187.6332975780257,220.6004318726945,133.0632054183144,193.36462867331176
1980-10-14,181.66539589642267,215.94080820512204,130.2499798925121,190.3709554285456
1980-10-15,165.61275310919817,202.14931545106583,122.34229111983176,183.0763596562228
1980-10-16,155.04366820045135,186.6154613968021,117.16962580742535,172.72268576833804
1980-10-17,148.11379494351004,177.54913524929734,113.04172860123268,166.1601866755471
1980-10-18,144.46416962226002,171.665911893942,110.16788004823036,161.89669048765725
1980-10-19,157.90755673661118,176.64938434727927,138.44618309081667,178.591766996926
1980-10-20,139.390967026471,174.9940454505551,113.27000585091893,186.85978290902992
1980-10-21,130.96034562620582,155.9303500860011,106.97610854657708,162.59827409869663
1980-10-22,130.9355312603383,152.8128987149747,105.41738902482206,159.11668761844322
1980-10-23,118.82303729696673,146.47123968125044,97.94932537329801,153.03698337634714
1980-10-24,109.44252189732838,132.56276372795122,93.23334276643423,143.06554139170476
1980-10-25,104.58713203077613,125.72149511121808,89.73101832178543,137.2093892622744
1980-10-26,2587.5008215154207,1515.2558647784178,1661.996445899099,1359.6596495578317
1980-10-27,1399.8093477725258,2411.7261089708777,585.7609882894862,1992.2607670377008
1980-10-28,541.2017158999239,835.8322760425991,293.92463478037416,735.4556811894333
1980-10-29,426.33872311365013,544.6638347663427,252.88564124666203,480.3043768058639
1980-10-30,344.05378570802895,434.3173364025761,220.78036183597123,396.0352501361789
1980-10-31,299.4114129143128,367.2168305245787,201.27652852558046,346.64948388659826
1980-11-01,275.49987458872175,331.80435337830784,186.72527861078544,316.56000858023845
1980-11-02,279.4844829085123,321.0782109801372,181.29550938443825,300.79193171514834
1980-11-03,251.1311398083438,311.1154278429856,166.1636765954284,282.7593788529762
1980-11-04,220.78585929189165,270.90153100497133,154.7058985668378,257.7938307903448
1980-11-05,209.8943155248495,252.05861652740552,146.6326302926745,242.81828502098625
1980-11-06,194.48139748794932,236.9759692959176,138.52555133939262,228.88389169729328
1980-11-07,193.17396421697723,227.4137022342724,138.21629216923898,222.0785503942376
1980-11-08,203.303105030082,247.07427621691656,146.7511014231421,241.4122183670598
1980-11-09,187.08683357083842,244.712047946112,126.76956452631282,230.26694041267368
1980-11-10,513.1702578121641,474.62247658567526,245.1978950898574,354.86217390528174
1980-11-11,368.3712309320304,558.9551540676957,167.0966969985969,387.2973881965639
1980-11-12,244.56565930572137,344.2243754203483,131.3872376557146,251.12442747568616
1980-11-13,217.16331536676762,283.74810483706904,126.98969945144377,219.5706601901318
1980-11-14,260.0586467186904,303.53832484376045,144.24203024296907,221.8043864304072
1980-11-15,263.1701474434763,334.10977645372884,138.10234523727524,229.5790058277473
1980-11-16,249.2014994959818,319.71492573898405,131.4227224115548,218.95071432343013
1980-11-17,234.87408322350745,301.5725692230965,125.71910603854765,208.7758584568465
1980-11-18,322.41066571925165,330.41179768231115,187.62256277678,251.18466465162416
1980-11-19,286.288845714957,376.27773256488535,142.34088806655063,267.63355572819154
1980-11-20,230.40674215288564,299.7444478570807,125.13237789742769,207.4363801152864
1980-11-21,216.40331042294997,271.9020322326905,123.61844917361248,195.46200272064047
1980-11-22,220.212322055558,268.2589257020913,126.9430373365206,197.188900384327
1980-11-23,218.92717015402948,270.6767954507351,133.4516380622855,203.6399192811777
1980-11-24,673.2366850278381,508.5802279054464,423.83728574798255,389.65945867515904
1980-11-25,1663.1163021402085,1412.1858358069194,1990.7331214864325,1547.0939144532304
1980-11-26,1268.7584694825534,1802.561079391964,926.8308410316125,2226.7892213736336
1980-11-27,769.6055556189123,1069.2829306922335,563.0041761259668,1095.531191349094
1980-11-28,684.1556710790477,855.9127548184796,486.5644054917603,802.8305877195753
1980-11-29,653.3809239312951,816.4638346116307,466.2704560460927,710.2414328807632
1980-11-30,597.2628507493293,767.5061980742013,415.49838415130955,656.74561350492
1980-12-01,598.929961191425,744.8020293365424,396.1131994876219,615.1686286660143
1980-12-02,726.606827223526,856.7240434631035,477.59973944066405,684.4289943062623
1980-12-03,1288.985450928351,1343.9190877092556,543.9018956352082,852.9656697235384
1980-12-04,1044.3170448556539,1481.298034562542,440.49941327152624,819.2745083415466
1980-12-05,809.9085446504066,1098.223757610275,390.37972586999257,669.6125425320301
1980-12-06,712.3935238422042,935.436714719072,359.78645948707475,598.6479815822228
1980-12-07,653.690280488828,847.609570967706,335.4263699939196,556.9729683332281
1980-12-08,908.6138734557121,966.9967345209236,359.87989713007164,562.9884018360334
1980-12-09,1217.3262911382737,1349.6235916634405,391.50736817043486,618.071216357905
1980-12-10,1000.2530279703223,1362.6464982895411,347.66903605809904,609.3782068538117
1980-12-11,763.6785190376644,1035.4388686593345,310.6873030618409,532.8601096461615
1980-12-12,669.4504443211671,874.3185848760107,291.34375088640184,482.1460485778619
1980-12-13,609.4885775732796,788.1147284788349,276.6025659960528,452.4104617491312
1980-12-14,560.1901098635487,722.4404274854884,263.31337515457847,427.9028069541489
1980-12-15,518.6298929123949,667.2538645859371,251.16805455608167,406.05971030317926
1980-12-16,482.87331287098095,620.1483535543783,239.97448972011622,386.2991552318548
1980-12-17,451.55768608095184,579.1579218058603,229.58978993905842,368.2560500156792
1980-12-18,423.7621433720146,542.957114781433,219.90408499060453,351.6554022817225
1980-12-19,398.82665719077687,510.6116053611941,210.83108719124613,336.2850604044482
1980-12-20,376.261772129455,481.4361019797244,202.30093404027195,321.9786522230714
1980-12-21,355.695463468352,454.91415073566185,194.2564825683501,308.602941940781
1980-12-22,336.8381319604041,430.6473263002744,186.6502434842098,296.0499799623221
1980-12-23,319.46028239730856,408.32225334569614,179.4422546780691,284.23085037769846
1980-12-24,303.3768873877743,387.68816060314,172.59834550733177,273.0716078127805
1980-12-25,288.4367511764061,368.54102274585335,166.0892233276249,262.50988489680344
1980-12-26,274.51425267324817,350.7128699669312,159.8894231884051,252.4926831714354
1980-12-27,261.5040076392,334.0637011285844,153.9763364246694,242.9744401362125
1980-12-28,249.31699414762443,318.4751129016854,148.33036844916478,233.9157866348898
1980-12-29,261.06226588348477,322.5775328298183,154.237256937675,236.71937943940893
1980-12-30,297.53502531530756,357.2874007156888,189.34047368104063,269.1466449481427
1980-12-31,292.16134998665,374.4656073840973,182.55795307626926,290.3965809599561
1981-01-01,276.02171561473307,354.3795664328356,174.10600322357504,275.71711254750824
1981-01-02,263.01239760991496,337.1051065166937,167.38605462634013,263.97352598313427
1981-01-03,250.9265856311393,321.49663647141045,161.02597335216856,253.4683518502005
1981-01-04,239.5641412175616,306.8669317770017,154.97535341941892,243.58689087296776
1981-01-05,228.86004288414463,293.0936640231311,149.21052476392978,234.23352097254045
1981-01-06,218.7595145446977,280.10314424800936,143.7110200102898,225.35952380426664
1981-01-07,209.21503608915896,267.8322950159293,138.4585944342872,216.9241692540953
1981-01-08,200.1843685154751,256.2256129172349,133.43716432532807,208.8927233119325
1981-01-09,191.63018656961336,245.23388650662,128.63218691236338,201.2347123573381
1981-01-10,183.51895694157332,234.8133876180548,124.03079473381732,193.92356812705464
1981-01-11,175.8208063609615,224.9248654394515,119.62116939975618,186.93585847798636
1981-01-12,168.508446637565,215.5330534120094,115.39245098464333,180.25059704628316
1981-01-13,161.5574421684564,206.6057224769588,111.33500183618904,173.84910517915748
1981-01-14,154.9451688792374,198.1139572119274,107.4397143853071,167.71463717838694
1981-01-15,148.65107556738545,190.0309921133959,103.69837665697474,161.83186747563363
1981-01-16,142.65642132615534,182.3325271811169,100.10337086245778,156.18699911458825
1981-01-17,136.9437516251339,174.9960573012249,96.64764134776796,150.76724106427645
1981-01-18,131.49691865064221,168.0009708663672,93.32447393112021,145.56103504535972
1981-01-19,126.30111643915689,161.32806653706254,90.12772396198524,140.55763146357276
1981-01-20,122.59054819165733,156.89600882148244,91.1931788734015,138.94836789199303
1981-01-21,117.6215944707122,152.08056534712873,88.79682865369026,138.13510684475168
1981-01-22,112.88286328153481,145.8564615094066,85.73516545794774,133.82579174405765
1981-01-23,108.52300228188868,140.14153340738815,82.82414944312217,129.28238203870745
1981-01-24,104.36660817250407,134.73251508932853,80.0217228216506,124.91056149906534
1981-01-25,100.39240119464164,129.563331067542,77.32192647212494,120.70135569322176
1981-01-26,98.32897219635984,128.06388101169074,76.2326252130633,118.83214918068371
1981-01-27,155.68060939758175,171.97406035487165,112.6682251959485,152.897761337592
1981-01-28,185.29032118951943,227.63023259361992,124.4519396751994,194.60718315024872
1981-01-29,176.9794092187401,233.2913831382726,120.68520171578457,196.40019574967332
1981-01-30,166.49038598136443,218.8436720333792,115.93735556101115,187.48807203880355
1981-01-31,158.41084978150826,207.8572513858053,111.60832876165864,179.65522731619532
1981-02-01,150.98408515891526,198.08604771489,107.48611947151414,172.36114436855306
1981-02-02,2258.8484168299187,1481.549713136533,2144.380326784577,1514.9481699700902
1981-02-03,1367.7939809515292,2244.343604669249,812.1617828835756,2411.933921310656
1981-02-04,666.7862449078806,1012.3691742686032,401.42082644912966,888.8011483351552
1981-02-05,543.6508753505908,715.8335098857516,344.16140400128177,568.387932897503
1981-02-06,474.5473822870211,613.7324828721712,305.60363502103866,486.4191799525382
1981-02-07,421.08872174373965,542.2866951317499,275.1638536133038,432.63041933994606
1981-02-08,378.2812596956741,485.59392669738247,250.54577509053317,390.2963474803449
1981-02-09,343.06681547045366,439.31721924569086,230.1977140118065,355.96967797499946
1981-02-10,313.6024623549148,400.7178128461927,212.88734527326173,327.2491881533574
1981-02-11,1249.2955968107697,1021.3522847496764,622.1230983999715,612.0562956797802
1981-02-12,2441.027688327657,2379.998040466016,2051.7573846889272,1929.7684248429853
1981-02-13,1468.638316292412,2384.065923624317,972.8805939761232,2460.8940036273307
1981-02-14,884.8316560159243,1301.0875759095247,605.0358589402813,1194.4223303429796
